,0,1,2
335,-4.254907480677476e-05,0.00043296785115753386,0.000839718947069905
336,-4.2311226266074326e-05,0.00043516946775166163,0.0008443738624755427
337,-4.207007387579924e-05,0.0004373612180151478,0.00084901614961407
338,-4.18256478544637e-05,0.00043954290576381596,0.000853645219406373
339,-4.157797862838977e-05,0.00044171433643962156,0.0008582604850017401
340,-4.1327096827574996e-05,0.0004438753171366142,0.0008628613618791176
341,-4.107303328173306e-05,0.00044602565662665844,0.0008674472679485311
342,-4.081581901650827e-05,0.0004481651653849125,0.0008720176236526189
343,-4.055548524986458e-05,0.0004502936556150606,0.0008765718520682229
344,-4.029206375725039e-05,0.0004524109411993619,0.0008811093793888178
345,-4.002558723291993e-05,0.00045451683764924274,0.00088562963540241
346,-3.975608926780605e-05,0.00045661116213512336,0.0008901320535693077
347,-3.948360431598628e-05,0.0004586937335213178,0.0008946160710814092
348,-3.92081676603775e-05,0.0004607643724037126,0.0008990811289141863
349,-3.892981537779261e-05,0.0004628229011500395,0.0009035266718717087
350,-3.864858430349009e-05,0.00046486914394255267,0.0009079521486250513
351,-3.836451199534263e-05,0.0004669029268229439,0.0009123570117444729
352,-3.8077636697744937e-05,0.00046892407773932123,0.0009167407177257287
353,-3.778799730537583e-05,0.00047093242659507613,0.0009211027270108719
354,-3.749563332692238e-05,0.0004729278052994714,0.0009254425040039088
355,-3.7200584900216324e-05,0.0004749132268637535,0.0009297591419775856
356,-3.690289271677572e-05,0.00047689170560436683,0.0009340517339004273
357,-3.660259795447348e-05,0.0004788630784453466,0.0009383197497344183
358,-3.6299742309500386e-05,0.00048082718431750063,0.0009425626635081093
359,-3.5994367974333216e-05,0.00048278386414150426,0.0009467799533290605
360,-3.568651761346465e-05,0.000484732960818072,0.0009509711013878897
361,-3.53762343374018e-05,0.00048667431922443647,0.0009551355939562916
362,-3.506356167534484e-05,0.0004886077862164398,0.0009592729213808
363,-3.474854354688388e-05,0.0004905332106356026,0.0009633825780736311
364,-3.443122423299293e-05,0.0004924504433205982,0.0009674640625016254
365,-3.411165022877879e-05,0.0004943593354023302,0.0009715168816799169
366,-3.378987213686074e-05,0.0004962597365153012,0.0009755405558852962
367,-3.346594455987477e-05,0.0004981514947921986,0.0009795346186970936
368,-3.3139925828213846e-05,0.0005000344570170231,0.0009834986166303683
369,-3.2811877718483894e-05,0.0005019084687974007,0.0009874321087261651
370,-3.2481865163999764e-05,0.0005037733747549022,0.0009913346661012477
371,-3.214995595874664e-05,0.0005056290187320716,0.0009952058714601075
372,-3.1816246932361265e-05,0.0005074752600000275,0.000999045286907044
373,-3.148085975023417e-05,0.0005093119789856329,0.0010028524708168523
374,-3.114388797779395e-05,0.0005111391090147936,0.0010066271823841687
375,-3.080537672310267e-05,0.0005129567407166683,0.0010103696869734366
376,-3.0465348590500355e-05,0.0005147650658568717,0.00101408055089578
377,-3.0123827532947704e-05,0.0005165642592961687,0.0010177602878496447
378,-2.9780838770627487e-05,0.000518354479777844,0.0010214093613015902
379,-2.9436408714262017e-05,0.0005201358706644106,0.001025028186723952
380,-2.9090564892962483e-05,0.0005219085606319417,0.00102861713371329
381,-2.8743396391917305e-05,0.0005236726975962149,0.001032176460865747
382,-2.8394998522138783e-05,0.000525428419488133,0.0010357063777017273
383,-2.8045403686162386e-05,0.0005271758171710315,0.0010392071224951786
384,-2.769466952797493e-05,0.000528914981879314,0.0010426788701337496
385,-2.7342885586729417e-05,0.0005306460085996405,0.0010461217284383816
386,-2.6990149961692956e-05,0.0005323689830707484,0.001049535767414334
387,-2.663654159601473e-05,0.0005340839705623047,0.0010529210432506896
388,-2.6282136433611794e-05,0.0005357910230513035,0.0010562775872691827
389,-2.5927008427099473e-05,0.0005374901815072388,0.001059605403339295
390,-2.5571217993915087e-05,0.0005391814712639401,0.0010629044791830016
391,-2.5214815022225354e-05,0.0005408649047607684,0.0010661747829518397
