,0
1008,2.6178734327587804e-05
1009,2.6017159626501462e-05
1010,2.5849926955240033e-05
1011,2.5678018267263536e-05
1012,2.5502197280593467e-05
1013,2.53230653616868e-05
1014,2.514114808791327e-05
1015,2.4956856619444774e-05
1016,2.4770514453016457e-05
1017,2.45823778696186e-05
1018,2.4392651567212554e-05
1019,2.4201500620634717e-05
1020,2.4009059625693187e-05
1021,2.381543970675765e-05
1022,2.3620733877653913e-05
1023,2.342502115251747e-05
1024,2.3228369391235924e-05
1025,2.3030837651798396e-05
1026,2.283247822495191e-05
1027,2.263333814891884e-05
1028,2.24334603723028e-05
1029,2.2232884647292703e-05
1030,2.203164821537445e-05
1031,2.18297863365758e-05
1032,2.1627332697176816e-05
1033,2.1424319724690296e-05
